index,home_team,away_team,proper_date,home_team_rank,home_team_avg_pts_scored,home_team_avg_pts_scored_opp,home_team_win_pct,home_team_win_pct_last10,home_is_top_players,away_team_rank,away_team_avg_pts_scored,away_team_avg_pts_scored_opp,away_team_win_pct,away_team_win_pct_last10,away_is_top_players,home_team_predicted_win_pct,away_team_predicted_win_pct
5,Oklahoma City Thunder,Minnesota Timberwolves,2022-03-04,27,102.1,108.7,0.323,0.3,1,14,113.6,112.3,0.54,0.6,1,0.322,0.678
2,Detroit Pistons,Indiana Pacers,2022-03-04,28,103.3,112.6,0.254,0.4,2,26,109.9,112.3,0.344,0.3,2,0.456,0.544
6,New Orleans Pelicans,Utah Jazz,2022-03-04,21,107.1,109,0.419,0.6,2,5,114.1,107.4,0.639,0.9,2,0.276,0.724
1,Washington Wizards,Atlanta Hawks,2022-03-04,19,107.6,110.4,0.459,0.4,1,17,112.5,111.7,0.484,0.5,0,0.606,0.394
0,Philadelphia 76ers,Cleveland Cavaliers,2022-03-04,6,108.5,106,0.623,0.7,2,12,106.5,103,0.581,0.5,2,0.612,0.388
4,Toronto Raptors,Orlando Magic,2022-03-04,13,108.6,107.4,0.548,0.5,1,30,104,112,0.238,0.3,2,0.732,0.268
7,Denver Nuggets,Houston Rockets,2022-03-04,11,110.4,107.8,0.581,0.8,2,29,108.5,118,0.242,0,2,0.799,0.201
3,Chicago Bulls,Milwaukee Bucks,2022-03-04,7,112.5,110.8,0.619,0.6,2,8,113.7,110.2,0.603,0.6,2,0.527,0.473
8,Phoenix Suns,New York Knicks,2022-03-04,1,113.7,105.6,0.806,0.8,0,23,105.1,107.3,0.403,0.1,2,0.749,0.251
