FullTeam,Team,logo
Washington Wizards,WAS,https://stats.nba.com/media/img/teams/logos/WAS_logo.svg
Utah Jazz,UTA,https://stats.nba.com/media/img/teams/logos/UTA_logo.svg
Toronto Raptors,TOR,https://stats.nba.com/media/img/teams/logos/TOR_logo.svg
San Antonio Spurs,SAS,https://stats.nba.com/media/img/teams/logos/SAS_logo.svg
Sacramento Kings,SAC,https://stats.nba.com/media/img/teams/logos/SAC_logo.svg
Portland Trail Blazers,POR,https://stats.nba.com/media/img/teams/logos/POR_logo.svg
Phoenix Suns,PHX,https://stats.nba.com/media/img/teams/logos/PHX_logo.svg
Philadelphia 76ers,PHI,https://stats.nba.com/media/img/teams/logos/PHI_logo.svg
Orlando Magic,ORL,https://stats.nba.com/media/img/teams/logos/ORL_logo.svg
Oklahoma City Thunder,OKC,https://stats.nba.com/media/img/teams/logos/OKC_logo.svg
New York Knicks,NYK,https://stats.nba.com/media/img/teams/logos/NYK_logo.svg
New Orleans Pelicans,NOP,https://stats.nba.com/media/img/teams/logos/NOP_logo.svg
Minnesota Timberwolves,MIN,https://stats.nba.com/media/img/teams/logos/MIN_logo.svg
Milwaukee Bucks,MIL,https://stats.nba.com/media/img/teams/logos/MIL_logo.svg
Miami Heat,MIA,https://stats.nba.com/media/img/teams/logos/MIA_logo.svg
Memphis Grizzlies,MEM,https://stats.nba.com/media/img/teams/logos/MEM_logo.svg
Los Angeles Lakers,LAL,https://stats.nba.com/media/img/teams/logos/LAL_logo.svg
Los Angeles Clippers,LAC,https://stats.nba.com/media/img/teams/logos/LAC_logo.svg
Indiana Pacers,IND,https://stats.nba.com/media/img/teams/logos/IND_logo.svg
Houston Rockets,HOU,https://stats.nba.com/media/img/teams/logos/HOU_logo.svg
Golden State Warriors,GSW,https://stats.nba.com/media/img/teams/logos/GSW_logo.svg
Detroit Pistons,DET,https://stats.nba.com/media/img/teams/logos/DET_logo.svg
Denver Nuggets,DEN,https://stats.nba.com/media/img/teams/logos/DEN_logo.svg
Dallas Mavericks,DAL,https://stats.nba.com/media/img/teams/logos/DAL_logo.svg
Cleveland Cavaliers,CLE,https://stats.nba.com/media/img/teams/logos/CLE_logo.svg
Chicago Bulls,CHI,https://stats.nba.com/media/img/teams/logos/CHI_logo.svg
Charlotte Hornets,CHA,https://stats.nba.com/media/img/teams/logos/CHA_logo.svg
Brooklyn Nets,BKN,https://stats.nba.com/media/img/teams/logos/BKN_logo.svg
Boston Celtics,BOS,https://stats.nba.com/media/img/teams/logos/BOS_logo.svg
Atlanta Hawks,ATL,https://stats.nba.com/media/img/teams/logos/ATL_logo.svg
